,unlockNext,star_0,star_1,star_2
lvl_1,0,0,900,196000
lvl_2,0,0,176000,196000
lvl_3,0,0,176000,196000
lvl_4,0,0,176000,196000
lvl_5,0,0,176000,196000
lvl_6,0,0,176000,196000
lvl_7,0,0,152000,192000
lvl_8,0,0,128000,188000
lvl_9,0,0,128000,188000
lvl_10,0,0,176000,196000
lvl_11,0,0,176000,196000
lvl_12,0,0,176000,196000
lvl_13,0,0,176000,196000
lvl_14,0,0,176000,196000
lvl_15,0,0,176000,196000
lvl_16,0,0,152000,192000
lvl_17,0,0,152000,192000
lvl_18,0,0,176000,196000
lvl_19,0,0,152000,192000
lvl_20,0,0,176000,196000
lvl_21,0,0,152000,192000
lvl_22,0,0,152000,192000
lvl_23,0,0,152000,192000
lvl_24,0,0,152000,192000
lvl_25,0,0,152000,192000
lvl_26,0,0,128000,188000
lvl_27,0,0,56000,176000
lvl_28,0,0,128000,188000
lvl_29,0,0,152000,192000
lvl_30,0,0,128000,188000
lvl_31,0,0,104000,184000
lvl_32,0,0,128000,188000
lvl_33,0,0,56000,176000
lvl_34,0,0,104000,184000
lvl_35,0,0,128000,188000
lvl_36,0,0,176000,196000
lvl_37,0,0,80000,180000
lvl_38,0,0,176000,196000
lvl_39,0,0,128000,188000
lvl_40,0,0,152000,192000
lvl_41,0,0,128000,188000
lvl_42,0,0,152000,192000
lvl_43,0,0,104000,184000
lvl_44,0,0,80000,180000
lvl_45,0,0,104000,184000
lvl_46,0,0,80000,180000
lvl_47,0,0,80000,180000
lvl_48,0,0,80000,180000
lvl_49,0,0,128000,188000
lvl_50,0,0,104000,184000
lvl_51,0,0,128000,188000
lvl_52,0,0,80000,180000
lvl_53,0,0,152000,192000
lvl_54,0,0,128000,188000
lvl_55,0,0,104000,184000
lvl_56,0,0,80000,180000
lvl_57,0,0,152000,192000
lvl_58,0,0,80000,180000
lvl_59,0,0,104000,184000
lvl_60,0,0,104000,184000
lvl_61,0,0,80000,180000
lvl_62,0,0,80000,180000
lvl_63,0,0,104000,184000
lvl_64,0,0,104000,184000
lvl_65,0,0,176000,196000
lvl_66,0,0,104000,184000
lvl_67,0,0,104000,184000
lvl_68,0,0,104000,184000
lvl_69,0,0,104000,184000
lvl_70,0,0,80000,180000
lvl_71,0,0,128000,188000
lvl_72,0,0,176000,196000
lvl_73,0,0,128000,188000
lvl_74,0,0,152000,192000
lvl_75,0,0,152000,192000
lvl_76,0,0,128000,188000
lvl_77,0,0,176000,196000
lvl_78,0,0,152000,192000
lvl_79,0,0,104000,184000
lvl_80,0,0,128000,188000
lvl_81,0,0,176000,196000
lvl_82,0,0,104000,184000
lvl_83,0,0,104000,184000
lvl_84,0,0,128000,188000
lvl_85,0,0,152000,192000
lvl_86,0,0,104000,184000
lvl_87,0,0,176000,196000
lvl_88,0,0,104000,184000
lvl_89,0,0,128000,188000
lvl_90,0,0,104000,184000
lvl_91,0,0,80000,180000
lvl_92,0,0,32000,172000
lvl_93,0,0,152000,192000
lvl_94,0,0,104000,184000
lvl_95,0,0,128000,188000
lvl_96,0,0,32000,172000
lvl_97,0,0,128000,188000
lvl_98,0,0,104000,184000
lvl_99,0,0,104000,184000
lvl_100,0,0,104000,184000
lvl_101,0,0,152000,192000
lvl_102,0,0,152000,192000
lvl_103,0,0,128000,188000
lvl_104,0,0,152000,192000
lvl_105,0,0,152000,192000
lvl_106,0,0,176000,196000
lvl_107,0,0,104000,184000
lvl_108,0,0,128000,188000
lvl_109,0,0,56000,176000
lvl_110,0,0,152000,192000
lvl_111,0,0,152000,192000
lvl_112,0,0,176000,196000
lvl_113,0,0,152000,192000
lvl_114,0,0,152000,192000
lvl_115,0,0,152000,192000
lvl_116,0,0,128000,188000
lvl_117,0,0,176000,196000
lvl_118,0,0,128000,188000
lvl_119,0,0,152000,192000
lvl_120,0,0,152000,192000
lvl_121,0,0,128000,188000
lvl_122,0,0,152000,192000
lvl_123,0,0,56000,176000
lvl_124,0,0,152000,192000
lvl_125,0,0,128000,188000
lvl_126,0,0,152000,192000
lvl_127,0,0,104000,184000
lvl_128,0,0,80000,180000
lvl_129,0,0,104000,184000
lvl_130,0,0,128000,188000
lvl_131,0,0,128000,188000
lvl_132,0,0,128000,188000
lvl_133,0,0,152000,192000
lvl_134,0,0,128000,188000
lvl_135,0,0,152000,192000
lvl_136,0,0,152000,192000
lvl_137,0,0,128000,188000
lvl_138,0,0,128000,188000
lvl_139,0,0,128000,188000
lvl_140,0,0,152000,192000
lvl_141,0,0,176000,196000
lvl_142,0,0,128000,188000
lvl_143,0,0,152000,192000
lvl_144,0,0,80000,180000
lvl_145,0,0,128000,188000
lvl_146,0,0,128000,188000
lvl_147,0,0,128000,188000
lvl_148,0,0,176000,196000
lvl_149,0,0,104000,184000
lvl_150,0,0,104000,184000
lvl_151,0,0,128000,188000
lvl_152,0,0,128000,188000
lvl_153,0,0,152000,192000
lvl_154,0,0,152000,192000
lvl_155,0,0,104000,184000
lvl_156,0,0,128000,188000
lvl_157,0,0,152000,192000
lvl_158,0,0,128000,188000
lvl_159,0,0,176000,196000
lvl_160,0,0,176000,196000
lvl_161,0,0,176000,196000
lvl_162,0,0,152000,192000
lvl_163,0,0,104000,184000
lvl_164,0,0,128000,188000
lvl_165,0,0,152000,192000
lvl_166,0,0,128000,188000
lvl_167,0,0,176000,196000
lvl_168,0,0,128000,188000
lvl_169,0,0,56000,176000
lvl_170,0,0,128000,188000
lvl_171,0,0,80000,180000
lvl_172,0,0,128000,188000
lvl_173,0,0,152000,192000
lvl_174,0,0,128000,188000
lvl_175,0,0,104000,184000
lvl_176,0,0,80000,180000
lvl_177,0,0,104000,184000
lvl_178,0,0,80000,180000
lvl_179,0,0,128000,188000
lvl_180,0,0,128000,188000
lvl_181,0,0,152000,192000
lvl_182,0,0,104000,184000
lvl_183,0,0,128000,188000
lvl_184,0,0,128000,188000
lvl_185,0,0,128000,188000
lvl_186,0,0,128000,188000
lvl_187,0,0,56000,176000
lvl_188,0,0,152000,192000
lvl_189,0,0,152000,192000
lvl_190,0,0,128000,188000
lvl_191,0,0,128000,188000
lvl_192,0,0,128000,188000
lvl_193,0,0,128000,188000
lvl_194,0,0,104000,184000
lvl_195,0,0,104000,184000
lvl_196,0,0,152000,192000
lvl_197,0,0,128000,188000
lvl_198,0,0,104000,184000
lvl_199,0,0,128000,188000
lvl_200,0,0,128000,188000
lvl_201,0,0,152000,192000
lvl_202,0,0,176000,196000
lvl_203,0,0,152000,192000
lvl_204,0,0,152000,192000
lvl_205,0,0,152000,192000
lvl_206,0,0,128000,188000
lvl_207,0,0,176000,196000
lvl_208,0,0,128000,188000
lvl_209,0,0,128000,188000
lvl_210,0,0,176000,196000
lvl_211,0,0,176000,196000
lvl_212,0,0,176000,196000
lvl_213,0,0,176000,196000
lvl_214,0,0,176000,196000
lvl_215,0,0,176000,196000
lvl_216,0,0,152000,192000
lvl_217,0,0,152000,192000
lvl_218,0,0,176000,196000
lvl_219,0,0,152000,192000
lvl_220,0,0,176000,196000
lvl_221,0,0,152000,192000
lvl_222,0,0,152000,192000
lvl_223,0,0,152000,192000
lvl_224,0,0,152000,192000
lvl_225,0,0,152000,192000
lvl_226,0,0,128000,188000
lvl_227,0,0,56000,176000
lvl_228,0,0,128000,188000
lvl_229,0,0,152000,192000
lvl_230,0,0,128000,188000
lvl_231,0,0,104000,184000
lvl_232,0,0,128000,188000
lvl_233,0,0,56000,176000
lvl_234,0,0,104000,184000
lvl_235,0,0,128000,188000
lvl_236,0,0,176000,196000
lvl_237,0,0,80000,180000
lvl_238,0,0,176000,196000
lvl_239,0,0,128000,188000
lvl_240,0,0,152000,192000
lvl_241,0,0,128000,188000
lvl_242,0,0,152000,192000
lvl_243,0,0,104000,184000
lvl_244,0,0,80000,180000
lvl_245,0,0,104000,184000
lvl_246,0,0,80000,180000
lvl_247,0,0,80000,180000
lvl_248,0,0,80000,180000
lvl_249,0,0,128000,188000
lvl_250,0,0,104000,184000
lvl_251,0,0,128000,188000
lvl_252,0,0,80000,180000
lvl_253,0,0,152000,192000
lvl_254,0,0,128000,188000
lvl_255,0,0,104000,184000
lvl_256,0,0,80000,180000
lvl_257,0,0,152000,192000
lvl_258,0,0,80000,180000
lvl_259,0,0,104000,184000
lvl_260,0,0,104000,184000
lvl_261,0,0,80000,180000
lvl_262,0,0,80000,180000
lvl_263,0,0,104000,184000
lvl_264,0,0,104000,184000
lvl_265,0,0,176000,196000
lvl_266,0,0,104000,184000
lvl_267,0,0,104000,184000
lvl_268,0,0,104000,184000
lvl_269,0,0,104000,184000
lvl_270,0,0,80000,180000
lvl_271,0,0,128000,188000
lvl_272,0,0,176000,196000
lvl_273,0,0,128000,188000
lvl_274,0,0,152000,192000
lvl_275,0,0,152000,192000
lvl_276,0,0,128000,188000
lvl_277,0,0,176000,196000
lvl_278,0,0,152000,192000
lvl_279,0,0,104000,184000
lvl_280,0,0,128000,188000
lvl_281,0,0,176000,196000
lvl_282,0,0,104000,184000
lvl_283,0,0,104000,184000
lvl_284,0,0,128000,188000
lvl_285,0,0,152000,192000
lvl_286,0,0,104000,184000
lvl_287,0,0,176000,196000
lvl_288,0,0,104000,184000
lvl_289,0,0,128000,188000
lvl_290,0,0,104000,184000
lvl_291,0,0,80000,180000
lvl_292,0,0,32000,172000
lvl_293,0,0,152000,192000
lvl_294,0,0,104000,184000
lvl_295,0,0,128000,188000
lvl_296,0,0,32000,172000
lvl_297,0,0,128000,188000
lvl_298,0,0,104000,184000
lvl_299,0,0,104000,184000
lvl_300,0,0,104000,184000
lvl_301,0,0,152000,192000
lvl_302,0,0,152000,192000
lvl_303,0,0,128000,188000
lvl_304,0,0,152000,192000
lvl_305,0,0,152000,192000
lvl_306,0,0,176000,196000
lvl_307,0,0,104000,184000
lvl_308,0,0,128000,188000
lvl_309,0,0,56000,176000
lvl_310,0,0,152000,192000
lvl_311,0,0,152000,192000
lvl_312,0,0,176000,196000
lvl_313,0,0,152000,192000
lvl_314,0,0,152000,192000
lvl_315,0,0,152000,192000
lvl_316,0,0,128000,188000
lvl_317,0,0,176000,196000
lvl_318,0,0,128000,188000
lvl_319,0,0,152000,192000
lvl_320,0,0,152000,192000
lvl_321,0,0,128000,188000
lvl_322,0,0,152000,192000
lvl_323,0,0,56000,176000
lvl_324,0,0,152000,192000
lvl_325,0,0,128000,188000
lvl_326,0,0,152000,192000
lvl_327,0,0,104000,184000
lvl_328,0,0,80000,180000
lvl_329,0,0,104000,184000
lvl_330,0,0,128000,188000
lvl_331,0,0,128000,188000
lvl_332,0,0,128000,188000
lvl_333,0,0,152000,192000
lvl_334,0,0,128000,188000
lvl_335,0,0,152000,192000
lvl_336,0,0,152000,192000
lvl_337,0,0,128000,188000
lvl_338,0,0,128000,188000
lvl_339,0,0,128000,188000
lvl_340,0,0,152000,192000
lvl_341,0,0,176000,196000
lvl_342,0,0,128000,188000
lvl_343,0,0,152000,192000
lvl_344,0,0,80000,180000
lvl_345,0,0,128000,188000
lvl_346,0,0,128000,188000
lvl_347,0,0,128000,188000
lvl_348,0,0,176000,196000
lvl_349,0,0,104000,184000
lvl_350,0,0,104000,184000
lvl_351,0,0,128000,188000
lvl_352,0,0,128000,188000
lvl_353,0,0,152000,192000
lvl_354,0,0,152000,192000
lvl_355,0,0,104000,184000
lvl_356,0,0,128000,188000
lvl_357,0,0,152000,192000
lvl_358,0,0,128000,188000
lvl_359,0,0,176000,196000
lvl_360,0,0,176000,196000
lvl_361,0,0,176000,196000
lvl_362,0,0,152000,192000
lvl_363,0,0,104000,184000
lvl_364,0,0,128000,188000
lvl_365,0,0,152000,192000
lvl_366,0,0,128000,188000
lvl_367,0,0,176000,196000
lvl_368,0,0,128000,188000
lvl_369,0,0,56000,176000
lvl_370,0,0,128000,188000
lvl_371,0,0,80000,180000
lvl_372,0,0,128000,188000
lvl_373,0,0,152000,192000
lvl_374,0,0,128000,188000
lvl_375,0,0,104000,184000
lvl_376,0,0,80000,180000
lvl_377,0,0,104000,184000
lvl_378,0,0,80000,180000
lvl_379,0,0,128000,188000
lvl_380,0,0,128000,188000
lvl_381,0,0,152000,192000
lvl_382,0,0,104000,184000
lvl_383,0,0,128000,188000
lvl_384,0,0,128000,188000
lvl_385,0,0,128000,188000
lvl_386,0,0,128000,188000
lvl_387,0,0,56000,176000
lvl_388,0,0,152000,192000
lvl_389,0,0,152000,192000
lvl_390,0,0,128000,188000
lvl_391,0,0,128000,188000
lvl_392,0,0,128000,188000
lvl_393,0,0,128000,188000
lvl_394,0,0,104000,184000
lvl_395,0,0,104000,184000
lvl_396,0,0,152000,192000
lvl_397,0,0,128000,188000
lvl_398,0,0,104000,184000
lvl_399,0,0,128000,188000
lvl_400,0,0,128000,188000
